doc,clean,tokens,prediction,ground_truth
I believe you can get clean. A lot of work ahead. But its worthy it. Prayers your way.,believe can get clean a lot of work ahead but worthy prayers way,"['believe', 'can', 'get', 'clean', 'a', 'lot', 'of', 'work', 'ahead', 'but', 'worthy', 'prayers', 'way']",2,0
will mixing alcohol and oxycodone kill me? im not trying to kms im just bored,will mixing alcohol and oxycodone kill im not trying to kms im just bored,"['will', 'mixing', 'alcohol', 'and', 'oxycodone', 'kill', 'im', 'not', 'trying', 'to', 'kms', 'im', 'just', 'bored']",2,0
"Can’t believe I went from being a Xanax / Opiate addict to trading $SPY options and maintaining a 4.0 in college…

This isn’t a flex at all, just a reminder to bet on yourself.

You’re capable of achieving anything!",cant believe went from being a xanax opiate addict to trading spy options and maintaining a 40 in college isnt a flex at all just a reminder to bet on youre capable of achieving anything,"['cant', 'believe', 'went', 'from', 'being', 'a', 'xanax', 'opiate', 'addict', 'to', 'trading', 'spy', 'options', 'and', 'maintaining', 'a', '40', 'in', 'college', 'isnt', 'a', 'flex', 'at', 'all', 'just', 'a', 'reminder', 'to', 'bet', 'on', 'youre', 'capable', 'of', 'achieving', 'anything']",2,0
I will have a year sober from everything on 1/27. Which is tight.,will have a year sober from everything on 127 is tight,"['will', 'have', 'a', 'year', 'sober', 'from', 'everything', 'on', '127', 'is', 'tight']",2,0
"Merry Christmas and hell fucking yeah! Every day is a great day to wake up and not be dope sick ❤️ I have 4 years away from it and I'm living a life I never thought I could manage, keep it up every day is worth it! 💪",merry christmas and hell fucking yeah every day is a great day to wake up and not be dope sick have 4 years away from and am living a life never thought could manage keep up every day is worth,"['merry', 'christmas', 'and', 'hell', 'fucking', 'yeah', 'every', 'day', 'is', 'a', 'great', 'day', 'to', 'wake', 'up', 'and', 'not', 'be', 'dope', 'sick', 'have', '4', 'years', 'away', 'from', 'and', 'am', 'living', 'a', 'life', 'never', 'thought', 'could', 'manage', 'keep', 'up', 'every', 'day', 'is', 'worth']",2,0
"So even after stopping for months, just a one time use brings it all back? I wanted to quit for a month or so to try and reset my body/brain lol. I'll miss them for sure but onto a better life it is.",so even after stopping for months just a one time use brings all back wanted to quit for a month or so to try and reset bodybrain lol will miss for sure but onto a better life is,"['so', 'even', 'after', 'stopping', 'for', 'months', 'just', 'a', 'one', 'time', 'use', 'brings', 'all', 'back', 'wanted', 'to', 'quit', 'for', 'a', 'month', 'or', 'so', 'to', 'try', 'and', 'reset', 'bodybrain', 'lol', 'will', 'miss', 'for', 'sure', 'but', 'onto', 'a', 'better', 'life', 'is']",2,0
Diazepam is basically my favorite drug of all time barring opiates. One of the few things I might do given the chance.,diazepam is basically favorite drug of all time barring opiates one of the few things might do given the chance,"['diazepam', 'is', 'basically', 'favorite', 'drug', 'of', 'all', 'time', 'barring', 'opiates', 'one', 'of', 'the', 'few', 'things', 'might', 'do', 'given', 'the', 'chance']",2,0
I’m an hour past day 5 and just know THAT IT DOES GET BETTER. Cheers to a sober 2k21,im an hour past day 5 and just know does get better cheers to a sober 2k21,"['im', 'an', 'hour', 'past', 'day', '5', 'and', 'just', 'know', 'does', 'get', 'better', 'cheers', 'to', 'a', 'sober', '2k21']",2,0
I think his point is that it’s not the drugs itself that cause the addiction; it’s the resulting social isolation that causes problems. Not that I agree with that but it’s not that black and white.,think point is not the drugs cause the addiction the resulting social isolation causes problems not agree with but not black and white,"['think', 'point', 'is', 'not', 'the', 'drugs', 'cause', 'the', 'addiction', 'the', 'resulting', 'social', 'isolation', 'causes', 'problems', 'not', 'agree', 'with', 'but', 'not', 'black', 'and', 'white']",2,0
I'm right there with you. I also have a mortgage pay and 2 young children to provide for.. no time for rehab. Gotta keep grinding or I'll lose everything..,am right there with also have a mortgage pay and 2 young children to provide for no time for rehab gotta keep grinding or will lose everything,"['am', 'right', 'there', 'with', 'also', 'have', 'a', 'mortgage', 'pay', 'and', '2', 'young', 'children', 'to', 'provide', 'for', 'no', 'time', 'for', 'rehab', 'gotta', 'keep', 'grinding', 'or', 'will', 'lose', 'everything']",2,0
